,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
521,335,492,165,157,25905,2022-09-27 14:12:20.875,2022-09-27 14:12:21.155,0.28,medium,medium_small,0 days 00:00:20.876000,0 days 00:00:21.156000,20.016,22.016
522,358,526,189,168,31752,2022-09-27 14:12:25.676,2022-09-27 14:12:26.143,0.467,medium,medium,0 days 00:00:25.677000,0 days 00:00:26.144000,24.9105,26.9105
523,368,549,147,181,26607,2022-09-27 14:12:45.984,2022-09-27 14:12:46.356,0.372,medium,medium_big,0 days 00:00:45.985000,0 days 00:00:46.357000,45.171,47.171
524,361,607,339,246,83394,2022-09-27 14:13:45.492,2022-09-27 14:13:47.972,2.48,large,large,0 days 00:01:45.493000,0 days 00:01:47.973000,105.733,107.733
525,57,223,173,166,28718,2022-09-27 14:13:47.866,2022-09-27 14:13:48.158,0.292,medium,medium,0 days 00:01:47.867000,0 days 00:01:48.159000,107.013,109.013
526,332,489,150,157,23550,2022-09-27 14:13:50.652,2022-09-27 14:13:50.958,0.306,medium,medium_small,0 days 00:01:50.653000,0 days 00:01:50.959000,109.80600000000001,111.80600000000001
527,71,240,156,169,26364,2022-09-27 14:14:07.759,2022-09-27 14:14:08.119,0.36,medium,medium,0 days 00:02:07.760000,0 days 00:02:08.120000,126.94,128.94
528,403,568,179,165,29535,2022-09-27 14:14:08.039,2022-09-27 14:14:08.519,0.48,medium,medium,0 days 00:02:08.040000,0 days 00:02:08.520000,127.28,129.28
529,387,551,145,164,23780,2022-09-27 14:14:19.853,2022-09-27 14:14:20.347,0.494,medium,medium,0 days 00:02:19.854000,0 days 00:02:20.348000,139.101,141.101
530,372,533,149,161,23989,2022-09-27 14:14:49.094,2022-09-27 14:14:49.521,0.427,medium,medium,0 days 00:02:49.095000,0 days 00:02:49.522000,168.30849999999998,170.30849999999998
531,75,242,140,167,23380,2022-09-27 14:14:56.948,2022-09-27 14:14:57.281,0.333,medium,medium,0 days 00:02:56.949000,0 days 00:02:57.282000,176.1155,178.1155
532,379,547,169,168,28392,2022-09-27 14:14:57.454,2022-09-27 14:14:57.961,0.507,medium,medium,0 days 00:02:57.455000,0 days 00:02:57.962000,176.70850000000002,178.70850000000002
533,365,548,165,183,30195,2022-09-27 14:14:59.588,2022-09-27 14:15:00.148,0.56,medium,medium_big,0 days 00:02:59.589000,0 days 00:03:00.149000,178.869,180.869
534,351,516,149,165,24585,2022-09-27 14:15:03.214,2022-09-27 14:15:03.721,0.507,medium,medium,0 days 00:03:03.215000,0 days 00:03:03.722000,182.4685,184.4685
535,359,536,191,177,33807,2022-09-27 14:15:07.549,2022-09-27 14:15:07.961,0.412,medium,medium_big,0 days 00:03:07.550000,0 days 00:03:07.962000,186.756,188.756
536,379,549,150,170,25500,2022-09-27 14:15:22.255,2022-09-27 14:15:22.602,0.347,medium,medium,0 days 00:03:22.256000,0 days 00:03:22.603000,201.42950000000002,203.42950000000002
537,384,551,198,167,33066,2022-09-27 14:15:25.055,2022-09-27 14:15:25.402,0.347,medium,medium,0 days 00:03:25.056000,0 days 00:03:25.403000,204.2295,206.2295
