,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
964,380,541,157,161,25277,2022-09-22 12:19:32.619,2022-09-22 12:19:33.072,0.453,medium,medium,0 days 02:14:22.619000,0 days 02:14:23.072000,8061,8063
966,109,263,152,154,23408,2022-09-22 12:19:41.952,2022-09-22 12:19:42.445,0.493,medium,medium_small,0 days 02:14:31.952000,0 days 02:14:32.445000,8071,8073
968,201,265,166,64,10624,2022-09-22 12:19:43.565,2022-09-22 12:19:43.752,0.187,small,small,0 days 02:14:33.565000,0 days 02:14:33.752000,8072,8074
970,163,199,153,36,5508,2022-09-22 12:19:51.179,2022-09-22 12:19:51.179,0.0,small,small,0 days 02:14:41.179000,0 days 02:14:41.179000,8080,8082
972,67,311,339,244,82716,2022-09-22 12:19:51.205,2022-09-22 12:19:53.472,2.267,large,large,0 days 02:14:41.205000,0 days 02:14:43.472000,8081,8083
974,108,264,186,156,29016,2022-09-22 12:19:57.006,2022-09-22 12:19:57.446,0.44,medium,medium_small,0 days 02:14:47.006000,0 days 02:14:47.446000,8086,8088
976,350,517,170,167,28390,2022-09-22 12:20:40.674,2022-09-22 12:20:41.007,0.333,medium,medium,0 days 02:15:30.674000,0 days 02:15:31.007000,8129,8131
978,360,529,145,169,24505,2022-09-22 12:20:58.248,2022-09-22 12:20:58.715,0.467,medium,medium,0 days 02:15:48.248000,0 days 02:15:48.715000,8147,8149
980,121,284,164,163,26732,2022-09-22 12:21:13.102,2022-09-22 12:21:13.368,0.266,medium,medium,0 days 02:16:03.102000,0 days 02:16:03.368000,8162,8164
982,356,540,163,184,29992,2022-09-22 12:21:50.210,2022-09-22 12:21:50.530,0.32,medium,medium_big,0 days 02:16:40.210000,0 days 02:16:40.530000,8199,8201
984,393,565,169,172,29068,2022-09-22 12:22:32.771,2022-09-22 12:22:33.118,0.347,medium,medium_big,0 days 02:17:22.771000,0 days 02:17:23.118000,8241,8243
986,116,292,145,176,25520,2022-09-22 12:23:23.027,2022-09-22 12:23:23.373,0.346,medium,medium_big,0 days 02:18:13.027000,0 days 02:18:13.373000,8292,8294
988,139,307,185,168,31080,2022-09-22 12:23:29.520,2022-09-22 12:23:29.947,0.427,medium,medium,0 days 02:18:19.520000,0 days 02:18:19.947000,8298,8300
990,132,288,153,156,23868,2022-09-22 12:23:39.868,2022-09-22 12:23:40.160,0.292,medium,medium_small,0 days 02:18:29.868000,0 days 02:18:30.160000,8309,8311
992,344,592,340,248,84320,2022-09-22 12:23:52.641,2022-09-22 12:23:55.294,2.653,large,large,0 days 02:18:42.641000,0 days 02:18:45.294000,8322,8324
