iter	Passed	Remaining
409	2556	3678
410	2563	3673
411	2569	3667
412	2572	3655
413	2575	3645
414	2578	3634
415	2581	3623
416	2584	3613
417	2587	3603
418	2590	3592
419	2594	3582
420	2598	3573
421	2603	3566
422	2606	3556
423	2611	3548
424	2615	3538
425	2622	3533
426	2627	3526
427	2631	3516
428	2637	3510
429	2642	3503
430	2647	3495
431	2653	3489
432	2658	3481
433	2663	3473
434	2668	3465
435	2672	3456
436	2678	3450
437	2683	3443
438	2688	3435
439	2694	3428
440	2699	3421
441	2702	3412
442	2707	3403
443	2710	3393
444	2714	3385
445	2719	3378
446	2725	3371
447	2728	3362
448	2733	3354
449	2737	3345
450	2742	3337
451	2745	3328
452	2749	3320
453	2752	3310
454	2757	3302
455	2760	3293
456	2764	3285
457	2767	3275
458	2771	3266
459	2775	3257
460	2779	3249
461	2784	3242
462	2790	3236
463	2796	3230
464	2800	3222
465	2806	3215
466	2809	3206
467	2813	3198
468	2817	3190
469	2822	3183
470	2825	3173
471	2829	3165
472	2833	3156
473	2837	3148
474	2840	3139
475	2844	3131
476	2847	3122
477	2850	3112
478	2854	3104
479	2858	3096
480	2863	3089
481	2866	3080
482	2871	3073
483	2875	3065
484	2879	3057
485	2886	3053
486	2893	3047
487	2898	3040
488	2903	3033
489	2907	3025
490	2911	3018
491	2920	3015
492	2927	3011
493	2931	3002
494	2937	2996
495	2942	2989
496	2945	2981
497	2952	2976
498	2959	2971
499	2962	2962
500	2967	2955
501	2970	2947
502	2976	2940
503	2979	2932
504	2984	2925
505	2987	2916
506	2991	2909
507	2995	2900
508	2999	2892
509	3001	2884
510	3005	2876
511	3008	2867
512	3012	2859
513	3016	2851
514	3019	2843
515	3023	2836
516	3026	2827
517	3031	2820
518	3034	2812
519	3038	2804
520	3041	2796
521	3045	2788
522	3048	2780
523	3051	2771
524	3056	2765
525	3059	2757
526	3063	2750
527	3067	2741
528	3071	2734
529	3075	2726
530	3079	2719
531	3082	2711
532	3086	2704
533	3089	2696
534	3093	2689
535	3097	2681
536	3102	2674
537	3105	2666
538	3108	2658
539	3112	2651
540	3115	2643
541	3119	2636
542	3123	2628
543	3126	2621
544	3130	2613
545	3135	2607
546	3138	2599
547	3145	2594
548	3152	2589
549	3158	2583
550	3161	2576
551	3166	2569
552	3170	2562
553	3175	2556
554	3179	2549
555	3183	2542
556	3187	2534
557	3190	2527
558	3193	2519
559	3196	2511
560	3200	2504
561	3203	2496
562	3206	2488
563	3209	2481
564	3213	2473
565	3216	2466
566	3219	2458
567	3222	2451
568	3226	2443
569	3229	2435
570	3232	2428
571	3235	2421
572	3239	2413
573	3241	2405
574	3244	2398
575	3248	2390
576	3251	2383
577	3255	2376
578	3258	2369
579	3261	2361
580	3264	2354
581	3268	2347
582	3271	2340
583	3274	2332
584	3277	2325
585	3281	2318
586	3284	2311
587	3288	2304
588	3291	2296
589	3294	2289
590	3297	2282
591	3300	2274
592	3303	2267
593	3307	2260
594	3311	2253
595	3313	2246
596	3316	2238
