iter	RMSE
0	38.01920508
1	37.48195931
2	37.1836582
3	36.75607444
4	36.32486052
5	35.89582623
6	35.46032517
7	34.98556108
8	34.58908213
9	34.16168674
10	33.8305707
11	33.57075628
12	33.12751842
13	32.74156701
14	32.38042093
15	31.98164476
16	31.73277052
17	31.33835193
18	31.09087648
19	30.83023535
20	30.52511821
21	30.22787842
22	29.91140047
23	29.72784433
24	29.46345216
25	29.27985941
26	28.95450834
27	28.66790427
28	28.45989335
29	28.24773402
30	28.0789476
31	27.89848473
32	27.71186227
33	27.45596408
34	27.20310623
35	26.96039927
36	26.73627566
37	26.5942947
38	26.43367487
39	26.21813209
40	26.02251963
41	25.81860418
42	25.62971477
43	25.44003922
44	25.29014917
45	25.13358394
46	24.87819358
47	24.72696866
48	24.5744275
49	24.40004176
50	24.22851026
51	24.0901093
52	23.97730012
53	23.82766548
54	23.70331613
55	23.59114958
56	23.39321569
57	23.21300478
58	23.04268235
59	22.89053151
60	22.75969496
61	22.57472569
62	22.45949117
63	22.38387493
64	22.25380249
65	22.10490978
66	21.96090607
67	21.87124671
68	21.77739617
69	21.64450803
70	21.4983589
71	21.41884706
72	21.34875439
73	21.25150022
74	21.16713965
75	21.03864621
76	20.8936415
77	20.78496598
78	20.68382415
79	20.62276896
80	20.51338744
81	20.42495644
82	20.33015699
83	20.27855921
84	20.20676591
85	20.10977384
86	20.02676181
87	19.93690015
88	19.84507273
89	19.76592045
90	19.69196352
91	19.58492819
92	19.51131856
93	19.45450673
94	19.3640524
95	19.30156268
96	19.22399097
97	19.14912643
98	19.08405888
99	19.0155527
100	18.93071946
101	18.86208392
102	18.79284886
103	18.75308767
104	18.66805603
105	18.62380409
106	18.55923359
107	18.49943424
108	18.44252844
109	18.37424706
110	18.31094622
111	18.24137384
112	18.17403749
113	18.08958593
114	18.01334834
115	17.95262831
116	17.89043364
117	17.81236775
118	17.77298514
119	17.72833578
120	17.64999356
121	17.5937062
122	17.53978187
123	17.47593754
124	17.44642096
125	17.38003213
126	17.30571762
127	17.26517457
128	17.20188191
129	17.16793338
130	17.11050504
131	17.05318377
132	16.9920604
133	16.95268944
134	16.88136183
135	16.82556885
136	16.74958743
137	16.68735526
138	16.63958225
139	16.59870167
140	16.56993943
141	16.52063575
142	16.48217514
143	16.43614108
144	16.39694048
145	16.33451264
146	16.30496543
147	16.25429208
148	16.2083998
149	16.15375447
150	16.10884357
151	16.06939729
152	16.02716835
153	15.99404519
154	15.94013709
155	15.91541679
156	15.86833568
157	15.83360566
158	15.77610827
159	15.7477638
160	15.72015741
161	15.65544633
162	15.61317751
163	15.56222505
164	15.51961369
165	15.48512474
166	15.45270385
167	15.41254443
168	15.37689828
169	15.31860834
170	15.27361479
171	15.22386455
172	15.18262172
173	15.15435413
174	15.11395429
175	15.09641304
176	15.07372959
177	15.01710705
178	14.98009155
179	14.93816141
180	14.91450498
181	14.89080913
182	14.84386589
183	14.82682835
184	14.78834463
185	14.75359154
186	14.72846231
187	14.68110707
188	14.64935382
189	14.61142383
190	14.57611222
191	14.54372908
192	14.51330369
193	14.4718176
194	14.44303599
195	14.42396695
196	14.376947
197	14.33484066
198	14.31357175
199	14.29135571
200	14.24898414
201	14.18923265
202	14.16856499
203	14.13178705
204	14.10660136
205	14.06439261
206	14.01992376
207	13.99259641
208	13.97239362
209	13.94452012
210	13.90874135
211	13.86919964
212	13.84514452
213	13.82875345
214	13.80374321
215	13.78754976
216	13.77639296
217	13.76514557
218	13.75523564
219	13.71387625
220	13.6911348
221	13.65213237
222	13.61781089
223	13.58509876
224	13.55760922
225	13.54009009
226	13.52128476
227	13.49966568
228	13.48234422
229	13.45328743
230	13.44307818
231	13.41734026
232	13.39611852
233	13.38218526
234	13.34251003
235	13.30629757
236	13.26688058
237	13.22862681
238	13.20647914
239	13.17937306
240	13.14890431
241	13.1296841
242	13.06408746
243	13.02300926
244	13.00268973
245	12.98656321
246	12.97464314
247	12.95364394
248	12.91307302
249	12.87810072
250	12.85155632
251	12.84220216
252	12.80804473
253	12.80014742
254	12.77786413
255	12.76173838
256	12.73925443
257	12.72104727
258	12.66918324
259	12.64778672
260	12.61298776
261	12.59335754
262	12.56662379
263	12.55369155
264	12.52104381
265	12.49478426
266	12.47392344
267	12.46481776
268	12.4439561
269	12.42385685
270	12.41574249
271	12.37745744
272	12.3673261
273	12.35283084
274	12.33334594
275	12.29992084
276	12.27138019
277	12.24969113
278	12.2181704
279	12.20497677
280	12.18589299
281	12.15614143
282	12.13173245
283	12.11438888
284	12.07972248
285	12.04459984
286	12.03685742
287	12.03008037
288	12.01215607
289	11.98416693
290	11.96369296
291	11.95215185
292	11.94467082
293	11.93142549
294	11.91340485
295	11.89469484
296	11.85809928
297	11.84441412
298	11.83733978
299	11.81779209
300	11.80476539
301	11.79794854
302	11.78069406
303	11.74651298
304	11.72906831
305	11.71859029
306	11.686305
307	11.65480421
308	11.63289738
309	11.60727659
310	11.59138148
311	11.55579599
312	11.50895276
313	11.49325879
314	11.48006225
315	11.45867815
316	11.45037457
317	11.43943347
318	11.4216692
319	11.41009544
320	11.39573273
321	11.36087103
322	11.33645258
323	11.31936326
324	11.31211962
325	11.28069228
326	11.25954229
327	11.25357365
328	11.2423527
329	11.23759035
330	11.22393857
331	11.2213817
332	11.20519855
333	11.18198709
334	11.17092372
335	11.14036403
336	11.13572646
337	11.1206418
338	11.10786857
339	11.08837176
340	11.06360156
341	11.04333908
342	10.99902515
343	10.99244882
344	10.97055231
345	10.96215646
346	10.94577407
347	10.92964534
348	10.89088445
349	10.87408484
350	10.86666611
351	10.84986197
352	10.83619096
353	10.81478465
354	10.79274088
355	10.76607932
356	10.76168673
357	10.74520943
358	10.70963798
359	10.69943806
360	10.66875523
361	10.64796224
362	10.62947613
363	10.60066897
364	10.58425337
365	10.57819642
366	10.54865418
367	10.53114816
368	10.50647337
369	10.46752824
370	10.45836298
371	10.44404455
372	10.42495561
373	10.39471663
374	10.37945031
375	10.3775742
376	10.3692242
377	10.34807255
378	10.33328339
379	10.30762176
380	10.28929363
381	10.26785533
382	10.25345047
383	10.24154378
384	10.2060991
385	10.18891365
386	10.16489393
387	10.14799454
388	10.11910332
389	10.08765724
390	10.06923378
391	10.0551046
392	10.03571225
393	10.00932545
394	9.996943043
395	9.965793606
396	9.940847093
397	9.905479527
398	9.892207366
399	9.881007986
400	9.866089994
401	9.858432502
402	9.851001535
403	9.839138453
404	9.816096341
405	9.78994824
406	9.782586603
407	9.747767422
408	9.726506347
409	9.708017601
410	9.680720521
411	9.65605081
412	9.649525764
413	9.643149016
414	9.635237603
415	9.629853969
416	9.590636434
417	9.564950146
418	9.548489051
419	9.50787387
420	9.476904602
421	9.44973352
422	9.426438239
423	9.400812895
424	9.393138665
425	9.363305573
426	9.356244433
427	9.335456085
428	9.30720002
429	9.29528817
430	9.280833402
431	9.261094542
432	9.249207988
433	9.240624153
434	9.214969421
435	9.192752168
436	9.183420076
437	9.165011263
438	9.158313069
439	9.155399672
440	9.124037041
